Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
fruit explosion muffin,340,10,5,58,470,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
raisin bran muffin,370,12,5,63,370,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
whole grain carrot orange muffin,350,11,5,59,360,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
whole gran pecan banana bread muffin,350,11,6,60,400,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
wild blueberry muffin,340,11,5,57,430,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate chunk cookie,240,10,3,34,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
oatmeal raisin spice cookie,210,8,3,32,190,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
peanut butter cookie,280,17,6,27,240,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
white chocolate macadamia nut cookie,250,13,3,32,250,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
double chocolate with peanut butter filling cookie,370,21,6,41,300,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
lemon shortbread with raspberry filling cookie,290,11,3,45,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
red velvet with cream cheese filling cookie,310,13,3,44,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
12 grain bagel,330,9,10,55,450,Yes,Yes,No,No,No,No,No,No,Yes,Yes
cinnamon raisin bagel,300,2,9,63,390,Yes,Yes,No,No,No,No,No,No,Yes,Yes
everything bagel,300,3,10,60,410,Yes,Yes,No,No,No,No,No,No,Yes,Yes
plain bagel,290,2,9,58,440,Yes,Yes,No,No,No,No,No,No,Yes,Yes
pretzel bagel ,300,3,11,60,850,Yes,Yes,No,No,No,No,No,No,Yes,Yes
sesame seed bagel,300,3,10,60,390,Yes,Yes,No,No,No,No,No,No,Yes,Yes
four cheese bagel,320,5,12,57,580,No,Yes,No,No,No,No,No,No,Yes,Yes
jalapeno asiago mozzarella bagel,310,3.5,12,58,730,No,Yes,No,Yes,No,No,No,No,Yes,Yes
maple cinnamon french toast bagel,350,4,10,67,540,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
roasted garlic & cheese bagel,310,4.5,13,54,710,No,Yes,No,Yes,No,No,No,No,Yes,Yes
sundried tomato asiago parm bagel,320,4.5,12,59,860,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
cream cheese spread,130,11,3,3,170,No,Yes,No,Yes,No,No,No,No,Yes,No
light cream cheese spread,100,8,4,2,220,No,Yes,No,Yes,No,No,No,No,Yes,No
light strawberry cream cheese spread,130,10,2,9,140,No,Yes,No,Yes,No,No,No,No,Yes,No
herb and garlic cream cheese spread,140,13,1,2,120,No,Yes,No,Yes,No,No,No,No,Yes,No
butter,70,8,0.1,0,85,No,Yes,No,Yes,No,No,No,No,No,No
margarine,50,6,0,0,50,No,Yes,No,Yes,No,No,No,No,No,Yes
strawberry jam,50,0,0.1,14,3,Yes,Yes,No,No,No,No,No,No,No,No
peanut butter ,100,9,4,4,75,Yes,Yes,No,No,Yes,No,No,No,No,No
