Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Shoyu a Good Time,520,7,6,108,95,No,No,No,No,No,No,Yes,No,Yes,Yes
Mayo Spice Me Up,547,8,14,103,430,No,No,No,No,No,No,Yes,No,Yes,Yes
Calfornia Dreamin',627,39.4,34.2,101.7,1102.2,No,No,No,No,No,No,Yes,No,Yes,Yes
Toona Spicy,520,7,6,108,95,No,No,No,No,No,No,Yes,No,Yes,Yes
Ponzu Party,643,18,44,124,762,No,Yes,No,No,No,No,Yes,No,No,Yes
No Swimmin',555,25.4,24.7,160.5,504,No,Yes,No,No,No,No,Yes,No,Yes,Yes
