Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Grilled Chicken Rustica 14" Large Stuffed Crust,101,9,15,22,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 12" Medium Classic,95,7,12,25,370,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 14" Large Classic,86,6,11,21,320,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 6" Personal Multigrain pizza,212,12,23,64,640,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 6" Personal Pan Pizza®,238,21,23,74,610,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 9" Small Pan,78,7,8,23,200,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 12" Medium Pan,107,9,11,30,280,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 14" Large Pan,98,9,10,28,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 12" Medium Thin 'N Crispy®,85,6,10,28,390,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 14" Large Thin 'N Crispy®,82,6,9,26,370,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 12" Medium Stuffed Crust,129,11,18,26,480,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 14" Large Stuffed Crust,116,10,16,22,420,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 12" Medium Classic,104,7,10,25,310,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 14" Large Classic,94,6,9,22,270,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 12" Multigrain,103,6,11,30,320,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 6" Personal Pan Pizza®,580,23,24,73,730,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 9" Small Pan,170,7,7,20,150,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 12" Medium Pan,250,10,11,29,300,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 14" Large Pan,230,9,10,27,280,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 12" Medium Thin 'N Crispy®,210,7,10,27,420,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 14" Large Thin 'N Crispy®,200,7,10,25,400,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 12" Medium Stuffed Crust,250,10,15,24,470,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 14" Large Stuffed Crust,220,9,14,21,410,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 12" Medium Classic,210,8,10,25,360,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Margherita 14" Large Classic,180,7,9,21,310,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 6" Personal Pan Pizza®,710,33,32,72,910,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 9" Small Pan,230,11,11,22,310,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 12" Medium Pan,310,15,15,29,420,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 14" Large Pan,290,14,14,27,400,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 12" Medium Thin 'N Crispy®,270,12,14,27,540,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 14" Large Thin 'N Crispy®,260,12,13,25,510,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 12" Medium Stuffed Crust,320,16,20,25,590,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 14" Large Stuffed Crust,280,14,18,21,530,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 12" Medium Classic,270,13,14,25,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 14" Large Classic,240,2,13,21,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pepperoni Lover's 12" Multigrain,290,12,15,29,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 6" Personal Pan Pizza®,650,28,29,72,770,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 9" Small Pan,200,9,10,22,250,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 12" Medium Pan,280,12,13,29,350,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 14" Large Pan,260,12,13,27,330,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 12" Medium Thin 'N Crispy®,240,10,13,27,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 14" Large Thin 'N Crispy®,230,9,12,25,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 12" Medium Stuffed Crust,290,13,18,25,520,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 14" Large Stuffed Crust,260,12,16,21,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 12" Medium Classic,240,10,13,25,390,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 14" Large Classic,220,9,12,21,350,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheese Lover's 12" Multigrain,260,9,14,29,390,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 6" Personal Pan Pizza®,710,33,33,73,1080,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 9" Small Pan,230,11,11,22,350,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 12" Medium Pan,320,15,15,30,480,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 14" Large Pan,300,15,14,27,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 12" Medium Thin 'N Crispy®,280,13,15,27,590,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 14" Large Thin 'N Crispy®,270,12,14,25,570,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 12" Medium Stuffed Crust,320,16,20,25,650,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 14" Large Stuffed Crust,290,15,18,22,590,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 12" Medium Classic,280,13,15,25,520,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 14" Large Classic,250,12,14,21,480,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's 12" Multigrain,320,16,15,29,400,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's Personal Pan Pizza®,670,29,31,73,910,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 9" Small Pan,220,10,10,22,310,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 12" Medium Pan,300,14,15,30,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 14" Large Pan,280,13,14,27,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 12" Medium Thin 'N Crispy®,260,11,14,27,550,No,No,Yes,Yes,No,No,No,No,Yes,Yes
